name,startDate,endDate,city,state,image,icon,website
Kent Hack Enough,2017-10-06,2017-10-08,Kent,OH,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/718/thumb/KHE_Splash.png?1502208953,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/718/thumb/KHE_Logo.png?1502208953,https://khe.io/
WeCanCode Hackathon,2017-10-06,2017-10-07,Ensenada,MX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/735/thumb/WCCwallpaper_3_ver.3_%281%29.png?1503583874,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/735/thumb/WCCminiatura_ver.2_%281%29.png?1503583874,http://wecancode.org/
hackNAU,2017-10-07,2017-10-08,Houston,TX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/749/thumb/hack_nau_splash.jpeg?1504719882,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/749/thumb/hack_NAU_logo.png?1504719882,http://hacknau.com/
HackUMBC,2017-10-07,2017-10-08,Baltimore,MD,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/686/thumb/umbcbackgrund.png?1501788740,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/686/thumb/hackumbc_logo.jpeg?1500043231,http://hackumbc.org/
Knight Hacks,2017-10-07,2017-10-08,Orlando,FL,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/745/thumb/mlh_background_300x300__1_.jpg?1504283043,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/745/thumb/mlh-100x100-kh-logo__1_.png?1504283042,http://knighthacks.org/
MadHacks,2017-10-07,2017-10-08,Madison,WI,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/744/thumb/mh.png?1504282636,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/744/thumb/mh.png?1504282636,https://www.madhacks.org/
HackGT,2017-10-13,2017-10-15,Atlanta,GA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/692/thumb/Numerical_Poster.png?1500067679,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/692/thumb/pasted_image_at_2017_02_20_10_24_pm.png?1500067678,https://hack.gt/
TigerHacks,2017-10-13,2017-10-15,Columbia,MO,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/694/thumb/TigerHackscolumns.jpg?1500669909,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/694/thumb/tiger_hacks_logo-03.jpg?1500321994,http://tiger-hacks.com/
hackNY,2017-10-14,2017-10-15,New York,NY,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/731/thumb/contentid_image1502566121688.jpeg?1503438897,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/731/thumb/contentid_image1502566121678.png?1503438897,http://hackny.org/hackathon/
HackRU,2017-10-14,2017-10-15,New Brunswick,NJ,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/702/thumb/mlh-bg-earth-no-words.jpg?1501082659,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/702/thumb/hackru-logo-square-gradient-whitebg-bordered.jpg?1501082659,http://www.hackru.org/
HackHarvard,2017-10-20,2017-10-22,Cambridge,MA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/746/thumb/hh_2017_mlh_splash_300x300_360.png?1504283203,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/746/thumb/hh_2017_mlh_icon_100x100_360.png?1504283203,http://hackharvard.io/
HackISU,2017-10-20,2017-10-22,Ames,IA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/681/thumb/hackisu_splash.jpg?1500042620,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/681/thumb/HackSquirrel_Official_MLH.png?1507304105,https://hackisu.org/
